epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7117,2.74456,2.19332,0.68684,4.71034,2.75564,0.35573,0.36667,0.21782,0.11284,0.35573,0.36667,0.24576,0.11878,1.99767,2.07365,0.64872,2.42923,2.0787,0.00014,0.00014,0.00014
2,23.3743,1.57247,1.94403,0.69497,1.59223,1.52548,0.96629,1,0.995,0.70848,0.93387,0.96667,0.95746,0.49343,1.04046,1.85938,0.64822,0.51785,1.16659,0.00029802,0.00029802,0.00029802
3,27.9107,1.2386,1.53186,0.6768,0.85266,1.26857,0.99728,1,0.995,0.73768,0.99728,1,0.995,0.55346,0.97751,1.65084,0.64197,0.54213,1.05159,0.000453928,0.000453928,0.000453928
4,30.6876,1.18307,1.3921,0.65277,0.72863,1.18971,1,0.96275,0.995,0.68637,1,0.96275,0.995,0.5784,1.0791,1.70206,0.62127,0.53287,1.12272,0.000607724,0.000607724,0.000607724
5,36.4532,1.07049,1.26054,0.60814,0.71814,1.18897,0.99803,1,0.995,0.69871,0.99803,1,0.995,0.61167,1.03625,1.65816,0.57167,0.8578,1.11197,0.000759408,0.000759408,0.000759408
6,40.6437,1.19019,1.18152,0.55762,0.75895,1.14402,0.96457,1,0.99177,0.65691,0.96457,1,0.99177,0.69297,1.28385,1.54882,0.50649,0.82091,1.24102,0.00090898,0.00090898,0.00090898
7,44.3838,1.19167,1.09345,0.55885,0.78271,1.18559,0.99779,1,0.995,0.76327,0.99779,1,0.995,0.75712,0.89615,1.13448,0.43388,0.61791,1.02132,0.00105644,0.00105644,0.00105644
8,47.7531,1.05125,1.10426,0.52816,0.69548,1.10738,0.99735,1,0.995,0.76323,0.99735,1,0.995,0.78002,0.93051,1.11089,0.39622,0.90518,1.06715,0.00120179,0.00120179,0.00120179
9,50.3691,1.09238,0.99217,0.5265,0.69277,1.16705,0.997,1,0.995,0.74417,0.997,1,0.995,0.77903,0.93375,1.00985,0.34009,0.83685,1.05385,0.00134502,0.00134502,0.00134502
10,52.9269,1.0408,1.00582,0.49329,0.72576,1.14975,0.96613,1,0.995,0.71005,0.96613,1,0.995,0.74619,1.00364,0.99769,0.30895,0.84693,1.05384,0.00148615,0.00148615,0.00148615
11,55.3016,1.06115,0.89548,0.48445,0.7014,1.12037,0.84581,1,0.97871,0.77114,0.84581,1,0.97871,0.79639,0.8874,0.90869,0.22715,1.65635,1.0127,0.00162516,0.00162516,0.00162516
12,57.7091,1.11094,0.9057,0.47463,0.71605,1.15346,0.94881,1,0.99306,0.7254,0.94881,1,0.99306,0.79965,0.86369,0.81669,0.15579,1.26485,1.01029,0.00176206,0.00176206,0.00176206
